IDENTIFIER,I am still living in the same property that I was when I got approved for Kickstarter2,Which best describes where you are now living?This helps us understand if/how the Kickstarter payments have helped you. The answer to your question will not affect your survey payment.,What was the main reason behind you moving?,Please choose the option that best describes you most of the time:,I feel safe in my current home:2,I feel safe in the area I live:2,I feel my current rent is affordable for me.,Please choose the answer that best describes you most of the time:,"In the past 2 months, have you ever not had enough money to pay rent?","Electricity, gas or phone bill?  - No money to pay bills last 2 month",Car rego or insurance?  - No money to pay bills last 2 month,Credit cards or buy now pay later?  - No money to pay bills last 2 month,All your bills?  - No money to pay bills last 2 month,Please choose the answer that best describes you most of the time:_1
DRETMQ,,,,,,,,,,,,,,
EPXHPF,Yes,,,3. I sometimes get help with getting or keeping accommodation,Usually,Always,No,"6. I'm sorting out my money and trying to manage with what I've got, bt it's hard","No, I have been able to pay my rent in full and on time",,,,I have had enough money to pay for all my bills,"4. I'm finding ways to look after my home well, but need to sort out a few issues"
CKPSTQ,,,,,,,,,,,,,,
GEOLMM,,,,,,,,,,,,,,
RMUJRY,,,,,,,,,,,,,,
SGJRKC,,,,,,,,,,,,,,
KNBSXA,,,,,,,,,,,,,,
QPJUBT,Yes,,,10. I live independently and manage my tenancy and don't need support with this,Never,Never,Yes,"9. I manage my money well enough, with occasional support","No, I have been able to pay my rent in full and on time",,,I didn't have enough money to make the minimum repayment on my credit card and/or buy-now-pay-later balance on time (e.g. Afterpay),,"5. I keep my home safe, warm, and well maintained and report repairs"
KAHKPS,,,,,,,,,,,,,,
AWILXI,Yes,,,"8. Where I'm living is working for me, with support to maintain this",Always,Usually,Yes,8. I manage my money OK but need support to maintain this,"No, I have been able to pay my rent in full and on time",,,I didn't have enough money to make the minimum repayment on my credit card and/or buy-now-pay-later balance on time (e.g. Afterpay),,"4. I'm finding ways to look after my home well, but need to sort out a few issues"
TULCMX,,,,,,,,,,,,,,
QSENSQ,,,,,,,,,,,,,,
CQCRWX,,,,,,,,,,,,,,
ZULSNJ,,,,,,,,,,,,,,
LIZJJZ,Yes,,,"7. I'm making progress with getting a home or learning how to manage it, but there are a few issues",Always,Sometimes,No,8. I manage my money OK but need support to maintain this,"Yes, I have not had enough money to pay rent for one month",,I didn't have enough money to pay for my car rego or insurance on time,I didn't have enough money to make the minimum repayment on my credit card and/or buy-now-pay-later balance on time (e.g. Afterpay),,"4. I'm finding ways to look after my home well, but need to sort out a few issues"
XNRTEN,,,,,,,,,,,,,,
QJYCHF,,,,,,,,,,,,,,
AVWBAR,,,,,,,,,,,,,,
GOYYKN,,,,,,,,,,,,,,
YZGFMS,,,,,,,,,,,,,,
FSJDDG,,,,,,,,,,,,,,
SPKOHJ,,,,,,,,,,,,,,
CCJJGT,,,,,,,,,,,,,,
DSBHLH,,,,,,,,,,,,,,
VLVUVV,,,,,,,,,,,,,,
QGFOKH,,,,,,,,,,,,,,
SNPTAO,,,,,,,,,,,,,,
CHJANU,,,,,,,,,,,,,,
CQYSAW,,,,,,,,,,,,,,
FCNSBD,,,,,,,,,,,,,,
NBXXDA,,,,,,,,,,,,,,
BURWGK,,,,,,,,,,,,,,
LJWGBX,,,,,,,,,,,,,,
BXCYRA,,,,,,,,,,,,,,
XEPHVJ,,,,,,,,,,,,,,
OBRMHH,,,,,,,,,,,,,,
NQFTJI,,,,,,,,,,,,,,
VYFMAI,,,,,,,,,,,,,,
QMARGV,,,,,,,,,,,,,,
ZRHNTD,,,,,,,,,,,,,,
MIFLUO,,,,,,,,,,,,,,
IRLQPA,,,,,,,,,,,,,,
UFVUWZ,,,,,,,,,,,,,,
KYHJUO,Yes,,,10. I live independently and manage my tenancy and don't need support with this,Usually,Rarely,No,8. I manage my money OK but need support to maintain this,"No, I have been able to pay my rent in full and on time","I didn't have enough money to pay for an electricity, gas or phone bill on time",I didn't have enough money to pay for my car rego or insurance on time,I didn't have enough money to make the minimum repayment on my credit card and/or buy-now-pay-later balance on time (e.g. Afterpay),,"3. I want to look after my home better and am trying to make changes, but it's early days"
NAWQRS,,,,,,,,,,,,,,
EHTTPL,,,,,,,,,,,,,,
JFAUKU,,,,,,,,,,,,,,
IHYCIS,,,,,,,,,,,,,,
ALRVRC,,,,,,,,,,,,,,
FBWKVD,,,,,,,,,,,,,,
KLEDIY,,,,,,,,,,,,,,
SBUGAQ,,,,,,,,,,,,,,
VQMLHR,,,,,,,,,,,,,,
OSHDJJ,,,,,,,,,,,,,,
HGOCWP,,,,,,,,,,,,,,
NLDGBK,,,,,,,,,,,,,,
HOBFIC,,,,,,,,,,,,,,
BQBIVI,,,,,,,,,,,,,,
PCAOKH,,,,,,,,,,,,,,
BKVTTE,,,,,,,,,,,,,,
IWCUPS,,,,,,,,,,,,,,
JMMTIL,,,,,,,,,,,,,,
JJUWCU,,,,,,,,,,,,,,
UCYDPR,,,,,,,,,,,,,,
YRPYTG,,I am now living in a different share house or in my own home - paying rent.,,,Always,Always,,,,,,,,"5. I keep my home safe, warm, and well maintained and report repairs"
LMUMDN,,,,,,,,,,,,,,
OWXEHN,,,,,,,,,,,,,,
KTUMEI,,,,,,,,,,,,,,
RENPDC,,,,,,,,,,,,,,
AEGBEZ,,,,,,,,,,,,,,
XXXOYR,,,,,,,,,,,,,,
KXEQZW,,,,,,,,,,,,,,
OFFKKX,,,,,,,,,,,,,,
CRIPVF,,,,,,,,,,,,,,
VOTLNH,,,,,,,,,,,,,,
QKPFZB,,,,,,,,,,,,,,
GNQXUM,Yes,,,10. I live independently and manage my tenancy and don't need support with this,Always,Always,Yes,10. I can manage money well enough and don't need support with this,"No, I have been able to pay my rent in full and on time",,,,I have had enough money to pay for all my bills,"5. I keep my home safe, warm, and well maintained and report repairs"
OLKTCN,,,,,,,,,,,,,,
HMWEWI,,,,,,,,,,,,,,
SZFMIZ,Yes,,,2. I don't have suitable housing or am at risk of losing it. I occasionally see this as a problem,Always,Always,No,10. I can manage money well enough and don't need support with this,"Yes, I have not had enough money to pay rent for 1-3 weeks","I didn't have enough money to pay for an electricity, gas or phone bill on time",I didn't have enough money to pay for my car rego or insurance on time,,,"5. I keep my home safe, warm, and well maintained and report repairs"
XQBZFX,,,,,,,,,,,,,,
FKQENQ,,,,,,,,,,,,,,
RFPFMQ,,,,,,,,,,,,,,
FETIGV,,,,,,,,,,,,,,
PCAELS,,,,,,,,,,,,,,
YXPDYA,,,,,,,,,,,,,,
RFCKKU,,,,,,,,,,,,,,
GBASKF,,,,,,,,,,,,,,
XGNAPC,,,,,,,,,,,,,,
DDCCNX,,,,,,,,,,,,,,
IKPHPN,,,,,,,,,,,,,,
KGPIEN,,,,,,,,,,,,,,
BHBAIR,,,,,,,,,,,,,,
RGHFAZ,,,,,,,,,,,,,,
RLXRRB,,,,,,,,,,,,,,
TATETS,,,,,,,,,,,,,,
PXMIZT,,,,,,,,,,,,,,
TPJKKE,,,,,,,,,,,,,,
BLIGPF,,,,,,,,,,,,,,
BDNUHO,Yes,,,"9. I live independently and manage my tenancy, with occasional support",Usually,Usually,No,"9. I manage my money well enough, with occasional support","No, I have been able to pay my rent in full and on time",,,,I have had enough money to pay for all my bills,"4. I'm finding ways to look after my home well, but need to sort out a few issues"
FPIELF,,,,,,,,,,,,,,
YTJNAF,,,,,,,,,,,,,,
GCQWLI,,,,,,,,,,,,,,
AYIWQW,,,,,,,,,,,,,,
QKZGHE,,,,,,,,,,,,,,
ZYDDGN,,,,,,,,,,,,,,
SGRHYP,,,,,,,,,,,,,,
DNQBEH,,,,,,,,,,,,,,
CQXZEB,,,,,,,,,,,,,,
DFOGDF,,,,,,,,,,,,,,
CSOGQS,,,,,,,,,,,,,,
HPPPLX,,,,,,,,,,,,,,
TAAAQI,,,,,,,,,,,,,,
RHANBJ,,,,,,,,,,,,,,
OOFEOL,,,,,,,,,,,,,,
TQEXVP,,,,,,,,,,,,,,
JIHQRH,,,,,,,,,,,,,,
VVLAOZ,,,,,,,,,,,,,,
XADOFA,,,,,,,,,,,,,,
ICIXTF,,,,,,,,,,,,,,
BNJNSM,,,,,,,,,,,,,,
QROAHO,,,,,,,,,,,,,,
EAUOAG,,,,,,,,,,,,,,
EHKXZO,,,,,,,,,,,,,,
JBHNDN,,,,,,,,,,,,,,
GRCBBS,,,,,,,,,,,,,,
SJOBOD,,,,,,,,,,,,,,
PJHEAI,,,,,,,,,,,,,,
YJQJGW,,,,,,,,,,,,,,
ZJBHTT,,,,,,,,,,,,,,
XVQQJZ,,,,,,,,,,,,,,
OKRVLJ,,,,,,,,,,,,,,
XRZESD,,,,,,,,,,,,,,
ZGYIPG,,,,,,,,,,,,,,
ODFJEA,,,,,,,,,,,,,,
JKGUAC,,,,,,,,,,,,,,
IHONSP,,,,,,,,,,,,,,
OXOBEF,,,,,,,,,,,,,,
WCGHOM,,,,,,,,,,,,,,
OBJYJR,,,,,,,,,,,,,,
CGACXK,,,,,,,,,,,,,,
DQRIYB,,,,,,,,,,,,,,
HEDKPO,,,,,,,,,,,,,,
XBZHEN,,,,,,,,,,,,,,
RMGUYY,,,,,,,,,,,,,,
GGDNZZ,Yes,,,"9. I live independently and manage my tenancy, with occasional support",Always,Always,Yes,"9. I manage my money well enough, with occasional support","No, I have been able to pay my rent in full and on time","I didn't have enough money to pay for an electricity, gas or phone bill on time",,I didn't have enough money to make the minimum repayment on my credit card and/or buy-now-pay-later balance on time (e.g. Afterpay),,"5. I keep my home safe, warm, and well maintained and report repairs"
HKHSBP,,,,,,,,,,,,,,
YSFTTE,Yes,,,"9. I live independently and manage my tenancy, with occasional support",Sometimes,Rarely,Yes,8. I manage my money OK but need support to maintain this,"Yes, I have not had enough money to pay rent for one month","I didn't have enough money to pay for an electricity, gas or phone bill on time",,,,"5. I keep my home safe, warm, and well maintained and report repairs"
RTBEDC,,,,,,,,,,,,,,
IOIFJV,,,,,,,,,,,,,,
OHSJBQ,,,,,,,,,,,,,,
QDGPWU,,,,,,,,,,,,,,
ZLGMAP,,,,,,,,,,,,,,
RIYPDY,,,,,,,,,,,,,,
SYLDZF,,,,,,,,,,,,,,
EMFVGS,,,,,,,,,,,,,,
PPFHFZ,Yes,,,"9. I live independently and manage my tenancy, with occasional support",Always,Usually,Yes,"9. I manage my money well enough, with occasional support","No, I have been able to pay my rent in full and on time",,,,I have had enough money to pay for all my bills,"5. I keep my home safe, warm, and well maintained and report repairs"
VODJCB,,,,,,,,,,,,,,
XJSVCV,,,,,,,,,,,,,,
QVZHTE,,,,,,,,,,,,,,
