IDENTIFIER,Total Bill Amount,Monthly Income,Total monthly rent,Rent as % of income formula,State Code,Organisation Code,"ZAPIER_RF - Form of homelessness Experienced (Primary, Secondary and Teritary)",ZAPIER_RF - Currently experiencing,ZAPIER_RF - GENDER AND AGE,ZAPIER_RF - CULTURAL,ZAPIER_RF - HUMAN CAPITAL,ZAPIER_RF - RELATIONSHIP,ZAPIER_RF - HEALTH,ZAPIER_RF - EXITING INSTITUTIONS,ZAPIER_RF - PREVIOUS OR INTERGENERATIONAL HOMELESSNESS,ZAPIER_Gender,ZAPIER_Age,ZAPIER_Dependents,ZAPIER_RF - Currently experiencing (Resolved),ZAPIER_Age Group,SM3_I am still living in the same property that I was when I got approved for Kickstarter,SM3_Which best describes where you are now living?This helps us understand if/how the Kickstarter payments have helped you. ,SM3_I feel safe in my current home:,SM3_I feel safe in the area I live:,"SM3_I feel I could pay my rent now, without getting an extra boost via the Kickstarter program.","SM3_In the past two months, have you run short of money and couldn't pay your rent?","SM3_If so, how much of your rent have you been able to pay across the last two months?","SM3_Electricity, gas or phone bill - No money to pay bills last 2 month","SM3_Car repair, rego or insurance  - No money to pay bills last 2 month",SM3_Food  - No money to pay bills last 2 month,"SM3_Credit card balance or debts, e.g. Afterpay  - No money to pay bills last 2 month",SM3_All expenses  - No money to pay bills last 2 month,SM3_How do you feel about having enough money to pay your rent and cover all your other important expenses with what you currently have?,SM3_Which best describes how you feel right now about looking after your home?,SM6_I am still living in the same property that I was when I got approved for Kickstarter2,SM6_Which best describes where you are now living?This helps us understand if/how the Kickstarter payments have helped you. The answer to your question will not affect your survey payment.,SM6_What was the main reason behind you moving?,SM6_Please choose the option that best describes you most of the time:,SM6_I feel safe in my current home:2,SM6_I feel safe in the area I live:2,SM6_I feel my current rent is affordable for me.,SM6_Please choose the answer that best describes you most of the time:,"SM6_In the past 2 months, have you ever not had enough money to pay rent?","SM6_Electricity, gas or phone bill?  - No money to pay bills last 2 month",SM6_Car rego or insurance?  - No money to pay bills last 2 month,SM6_Credit cards or buy now pay later?  - No money to pay bills last 2 month,SM6_All your bills?  - No money to pay bills last 2 month,SM6_Please choose the answer that best describes you most of the time:_1
AEGBEZ,2610.0,1231.5,870.0,0.71,2,E,Secondary,Secondary,Y,,Y,Y,Y,,,Man,23.0,0,Secondary,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIDRIG,2857.0,2534.0,869.0,0.34,2,K,Secondary,Secondary,Y,,,,,,,Woman,20.0,0,Secondary,18-24,Yes,,Sometimes,Rarely,No,No,,"Electricity, gas or phone bill",,Food,,,I don't feel any different,"3. I want to look after my home better and am trying to make changes, but it's early days",,,,,,,,,,,,,,
ALRVRC,1553.2,1463.0,434.4,0.3,2,E,Secondary,Secondary,Y,Y,,Y,,,Y,Woman,19.0,0,Secondary,18-24,Yes,,Rarely,Usually,No,Yes,One to 3 weeks,"Electricity, gas or phone bill",,Food,,,I don't feel any different,"4. I'm finding ways to look after my home well, but need to sort out a few issues",,,,,,,,,,,,,,
ATPFCL,3000.0,2882.4,1955.0,0.68,2,H,Secondary,Secondary,Y,,,Y,,,Y,Woman,22.0,1,Secondary,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVWBAR,1506.4,1543.0,418.8,0.27,2,E,No,No,Y,Y,,Y,,,,Woman,23.0,0,No,18-24,Yes,,Sometimes,Sometimes,Yes,No,,,,,,No- I have been able to cover all expenses.,I now feel I have it covered,"5. I keep my home safe, warm, and well maintained and report repairs",,,,,,,,,,,,,,
AWILXI,2935.5,2521.55,1202.98,0.48,2,E,No,No,Y,,,,,,,Man,22.0,0,No,18-24,Yes,,Usually,Usually,No,No,,,,Food,"Credit card balance or debts, e.g. Afterpay",,I don't feel any different,"5. I keep my home safe, warm, and well maintained and report repairs",Yes,,,"8. Where I'm living is working for me, with support to maintain this",Always,Usually,Yes,8. I manage my money OK but need support to maintain this,"No, I have been able to pay my rent in full and on time",,,I didn't have enough money to make the minimum repayment on my credit card and/or buy-now-pay-later balance on time (e.g. Afterpay),,"4. I'm finding ways to look after my home well, but need to sort out a few issues"
AYIWQW,2229.73,1778.48,659.91,0.37,2,F,No,No,,,,Y,Y,,,Woman,31.0,2,No,25-34,Yes,,Usually,Usually,Yes,No,,"Electricity, gas or phone bill","Car repair, rego or insurance",,,,I now feel I have it covered,"5. I keep my home safe, warm, and well maintained and report repairs",,,,,,,,,,,,,,
BDNUHO,3080.6,1590.46,860.2,0.54,2,B,Secondary,Secondary,Y,,,,Y,Y,,Woman,18.0,0,Secondary,18-24,,,,,,,,,,,,,,,Yes,,,"9. I live independently and manage my tenancy, with occasional support",Usually,Usually,No,"9. I manage my money well enough, with occasional support","No, I have been able to pay my rent in full and on time",,,,I have had enough money to pay for all my bills,"4. I'm finding ways to look after my home well, but need to sort out a few issues"
BHBAIR,2340.0,4073.35,780.0,0.19,5,N,Secondary,Secondary,Y,Y,,,,,,Man,34.0,1,Secondary,25-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BKVTTE,2400.0,3114.0,960.0,0.31,2,G,No,No,Y,,,,,,Y,Man,19.0,0,No,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
